# Intel sources seed — TG channels/chats. Format: link | side | kind | name
# sides: ua ru by mx (ge md pmr supported) | kind: channel|chat | name=display only (ignored by intake)
# Converted from media_channels_table.numbers (2026-06-22).
https://t.me/rbc_ua_news | ua | channel | РБК-Украина
https://t.me/gubernator_46 | ru | channel | Курск оперштаб
https://t.me/zhest_kursk_146 | ru | channel | Жесть Курск
https://t.me/marmuletik | ua | channel | Marmuletik🇺🇦
https://t.me/EcV2Xpz3rtkOTRi | ua | channel | АТАСМS - УКРАЇНА
https://t.me/notes_veterans | ru | channel | ZАПИСКИ VЕТЕРАНА 🇷🇺
https://t.me/bomber_fighter | ru | channel | Fighterbomber
https://t.me/locatorru | ru | channel | Локатор приграничье
https://t.me/GoriZont_bryansk | ru | channel | Горизонт брянск
https://t.me/radar_russia_monitor | ru | channel | Радар России
https://t.me/vygonichy32 | ru | channel | Выгоничи чат
https://t.me/orel_chat57 | ru | channel | Орел чат
https://t.me/chat_garnizon57 | ru | channel | Орел гарнизон чат
https://t.me/podslyshkaorelchat | ru | channel | Орел чат
https://t.me/informationBPLA31BELRN | ru | channel | Радар белгород
https://t.me/belgorodecRU | ru | channel | Белгородец
https://t.me/gusev_36 | ru | channel | Губернатор Воронежской области
https://t.me/zhkwka | ru | channel | Брянск чат
https://t.me/asupershpitz28 | ua | channel | Mirror шарий
https://t.me/+JWrp-E73gU9hN2My | ua | chat | Труха радар
@truexakyiv | ua | channel | Труха киев
@truexadnepr | ua | channel | Труха днипро
@truexazaporozie | ua | channel | Труха Запорожье
@dnipro_22 | ua | channel | Днипро чат
@dnipro_chatt | ua | channel | Днипро чат
@chat_dnipro1 | ua | channel | Днипро чат
@InDonetsk | ru | channel | Донецк чат
@vecherniychatlnr | ru | channel | Луганск чат
